# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
82368 82368 0  82368
     1265     54550 1
     1266     51398 1
     1267     55908 1
     1268     55902 1
     1269     49754 1
     1270     49755 1
     1271     49774 1
     1272     59895 1
     1273     55945 1
     1274     55913 1
     1275     53022 1
     1276     57298 1
     1277     57294 1
     1278     61067 1
     1279     54456 1
     1280     58671 1
     1281     51334 1
     1282     52923 1
     1283     51319 1
     1284     52927 1
     1285     49680 1
     1286     55898 1
     1287     51383 1
     1288     51390 1
     1289     54468 1
     1290     49700 1
     1291     49701 1
     1292     49682 1
     1293     51340 1
     1294     49689 1
     1295     52933 1
     1296     57303 1
     1297     57307 1
     1298     54463 1
     1299     74753 1
     1300     75309 1
     1301     58567 1
     1302     54460 1
     1303     51391 1
     1304     54472 1
     1305     54530 1
     1306     55887 1
     1307     54510 1
     1308     52941 1
     1309     49699 1
     1310     51377 1
     1311     51382 1
     1312     58557 1
     1313     58553 1
     1314     58560 1
     1315     49760 1
     1316     74290 1
     1317     55893 1
     1318     54453 1
     1319     54448 1
     1320     52949 1
     1321     54449 1
     1322     79416 1
     1323     79417 1
     1324     79424 1
     1325     55888 1
     1326     49730 1
     1327     47186 1
     1328     55906 1
     1329     47994 1
     1330     79307 1
     1331     49661 1
     1332     75923 1
     1333     50552 1
     1334     48902 1
     1335     52144 1
     1336     79800 1
     1337     47172 1
     1338     48041 1
     1339     48883 1
     1340     52154 1
     1341     57313 1
     1342     50546 1
     1343     52150 1
     1344     48907 1
     1345     51317 1
     1346     50578 1
     1347     52918 1
     1348     51314 1
     1349     51325 1
     1350     52922 1
     1351     50574 1
     1352     50535 1
     1353     50536 1
     1354     48892 1
     1355     50579 1
     1356     52914 1
     1357     48911 1
     1358     51307 1
     1359     50568 1
     1360     50540 1
     1361     48923 1
     1362     48919 1
     1363     74754 1
     1364     50580 1
     1365     50563 1
     1366     48903 1
     1367     48890 1
     1368     50549 1
     1369     52937 1
     1370     48916 1
     1371     50558 1
     1372     79615 1
     1373     79610 1
     1374     79564 1
     1375     79562 1
     1376     79569 1
     1377     79595 1
     1378     79600 1
     1379     79604 1
     1380     79605 1
     1381     79592 1
     1382     79559 1
     1383     79177 1
     1384     79194 1
     1385     79174 1
     1386     79586 1
     1387     79572 1
     1388     79573 1
     1389     79263 1
     1390     79264 1
     1391     79267 1
     1392     79272 1
     1393     79285 1
     1394     79286 1
     1395     79253 1
     1396     79254 1
     1397     79255 1
     1398     79280 1
     1399     79274 1
     1400     79190 1
     1401     79180 1
     1402     79184 1
     1403     79242 1
     1404     79241 1
     1405     79812 1
     1406     79817 1
     1407     79794 1
     1408     79793 1
     1409     79671 1
     1410     79674 1
     1411     79661 1
     1412     79665 1
     1413     79656 1
     1414     79644 1
     1415     79646 1
     1416     79651 1
     1417     79653 1
     1418     79236 1
     1419     79870 1
     1420     79530 1
     1421     79811 1
     1422     79322 1
     1423     79323 1
     1424     79312 1
     1425     79301 1
     1426     79313 1
     1427     79294 1
     1428     79453 1
     1429     78940 1
     1430     78890 1
     1431     78884 1
     1432     79458 1
     1433     79465 1
     1434     78559 1
     1435     78560 1
     1436     78817 1
     1437     78829 1
     1438     78813 1
     1439     78368 1
     1440     78357 1
     1441     78986 1
     1442     78961 1
     1443     77016 1
     1444     77538 1
     1445     78063 1
     1446     77961 1
     1447     78466 1
     1448     76446 1
     1449     76450 1
     1450     76455 1
     1451     76505 1
     1452     76438 1
     1453     79066 1
     1454     78591 1
     1455     78081 1
     1456     78067 1
     1457     75714 1
     1458     75159 1
     1459     74590 1
     1460     74032 1
     1461     73469 1
     1462     72905 1
     1463     72345 1
     1464     68081 1
     1465     68701 1
     1466     68711 1
     1467     69333 1
     1468     69957 1
     1469     67435 1
     1470     70551 1
     1471     71196 1
     1472     70595 1
     1473     70003 1
     1474     69390 1
     1475     68768 1
     1476     79131 1
     1477     78663 1
     1478     79083 1
     1479     76257 1
     1480     76296 1
     1481     74657 1
     1482     74637 1
     1483     74074 1
     1484     75223 1
     1485     75767 1
     1486     73511 1
     1487     72940 1
     1488     72378 1
     1489     71759 1
     1490     71150 1
     1491     71799 1
     1492     64698 1
     1493     64730 1
     1494     65456 1
     1495     66148 1
     1496     63930 1
     1497     63825 1
     1498     63822 1
     1499     65409 1
     1500     64686 1
     1501     66106 1
     1502     66762 1
     1503     77431 1
     1504     76907 1
     1505     76897 1
     1506     75412 1
     1507     75413 1
     1508     68138 1
     1509     67472 1
     1510     67503 1
     1511     66804 1
     1512     78071 1
     1513     75408 1
     1514     78397 1
     1515     77882 1
     1516     77849 1
     1517     79079 1
     1518     79087 1
     1519     63818 1
     1520     63814 1
     1521     76779 1
     1522     77309 1
     1523     77346 1
     1524     76817 1
     1525     78994 1
     1526     74870 1
     1527     63080 1
     1528     63942 1
     1529     62130 1
     1530     61079 1
     1531     62924 1
     1532     59915 1
     1533     79389 1
     1534     63787 1
     1535     63785 1
     1536     62919 1
     1537     62111 1
     1538     48065 1
     1539     49768 1
     1540     51416 1
     1541     49769 1
     1542     48071 1
     1543     61047 1
     1544     61052 1
     1545     61061 1
     1546     55985 1
     1547     54569 1
     1548     53064 1
     1549     57357 1
     1550     74863 1
     1551     76380 1
     1552     75857 1
     1553     74306 1
     1554     73743 1
     1555     58682 1
     1556     59890 1
     1557     59901 1
     1558     59820 1
     1559     53042 1
     1560     53036 1
     1561     53051 1
     1562     53043 1
     1563     49750 1
     1564     57280 1
     1565     57269 1
     1566     57264 1
     1567     57268 1
     1568     48063 1
     1569     57281 1
     1570     57318 1
     1571     52960 1
     1572     58618 1
     1573     62107 1
     1574     55858 1
     1575     55862 1
     1576     49681 1
     1577     49688 1
     1578     54416 1
     1579     54421 1
     1580     49672 1
     1581     49665 1
     1582     54423 1
     1583     57259 1
     1584     49735 1
     1585     49739 1
     1586     49744 1
     1587     52973 1
     1588     52977 1
     1589     47990 1
     1590     48046 1
     1591     47983 1
     1592     47979 1
     1593     47988 1
     1594     54431 1
     1595     54438 1
     1596     58621 1
     1597     58624 1
     1598     58626 1
     1599     52968 1
     1600     52967 1
     1601     74196 1
     1602     74204 1
     1603     75317 1
     1604     74766 1
     1605     59816 1
     1606     59817 1
     1607     53032 1
     1608     57252 1
     1609     55920 1
     1610     55918 1
     1611     54439 1
     1612     49724 1
     1613     49734 1
     1614     58635 1
