# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
81904 81904 0  81904
     1222      4351 1
     1223      4901 1
     1224      4342 1
     1225      4273 1
     1226      4576 1
     1227      4887 1
     1228      4565 1
     1229      4564 1
     1230      4883 1
     1231      4835 1
     1232      4488 1
     1233      4631 1
     1234      4632 1
     1235      4761 1
     1236      4621 1
     1237      4617 1
     1238      4767 1
     1239      4878 1
     1240      4690 1
     1241      4601 1
     1242      4871 1
     1243      4580 1
     1244      4535 1
     1245      4519 1
     1246      4760 1
     1247      4936 1
     1248      5598 1
     1249      5143 1
     1250      5113 1
     1251      5107 1
     1252      5137 1
     1253      5141 1
     1254      5149 1
     1255      5114 1
     1256      5122 1
     1257      4961 1
     1258      5064 1
     1259      5073 1
     1260      5081 1
     1261      5067 1
     1262      5085 1
     1263      5086 1
     1264      5090 1
     1265      5189 1
     1266      5200 1
     1267      5204 1
     1268      5163 1
     1269      5164 1
     1270      5176 1
     1271      5181 1
     1272      5187 1
     1273      5188 1
     1274      5198 1
     1275      4967 1
     1276      4971 1
     1277      4977 1
     1278      4978 1
     1279      4979 1
     1280      4990 1
     1281      4994 1
     1282      5127 1
     1283      5095 1
     1284      5130 1
     1285      5002 1
     1286      4998 1
     1287      5022 1
     1288      5025 1
     1289      5026 1
     1290      5621 1
     1291      5612 1
     1292      5589 1
     1293      5611 1
     1294      5619 1
     1295      5210 1
     1296      5053 1
     1297      5054 1
     1298      5048 1
     1299      5046 1
     1300      5035 1
     1301      5047 1
     1302      5101 1
     1303      4952 1
     1304      4956 1
     1305      5584 1
     1306      5008 1
     1307      5012 1
     1308      5040 1
     1309      4960 1
     1310      5222 1
     1311      5273 1
     1312      5102 1
     1313      4946 1
     1314      5274 1
     1315      5212 1
     1316      5152 1
     1317      5155 1
     1318      5162 1
     1319      5781 1
     1320      5778 1
     1321      5791 1
     1322      5796 1
     1323      5807 1
     1324      5812 1
     1325      5821 1
     1326      5822 1
     1327      5605 1
     1328      5788 1
     1329      5606 1
     1330      5783 1
     1331      5255 1
     1332      5121 1
     1333      5592 1
     1334      5668 1
     1335      5665 1
     1336      5246 1
     1337      5264 1
     1338      5270 1
     1339      5284 1
     1340      5291 1
     1341      5254 1
     1342      5296 1
     1343      5446 1
     1344      5447 1
     1345      5462 1
     1346      5488 1
     1347      5492 1
     1348      5252 1
     1349      5652 1
     1350      5663 1
     1351      5441 1
     1352      5518 1
     1353      5524 1
     1354      5638 1
     1355      5659 1
     1356      5530 1
     1357      5534 1
     1358      5475 1
     1359      5548 1
     1360      5539 1
     1361      5547 1
     1362      5454 1
     1363      5513 1
     1364      5560 1
     1365      5555 1
     1366      5468 1
     1367      5470 1
     1368      5476 1
     1369      5522 1
     1370      5500 1
     1371      5537 1
     1372      5656 1
     1373      5503 1
     1374      5292 1
     1375      5509 1
     1376      5504 1
     1377      5298 1
     1378      5299 1
     1379      5314 1
     1380      5457 1
     1381      5466 1
     1382      5074 1
     1383      5013 1
     1384      5674 1
     1385      5332 1
     1386      5370 1
     1387      5380 1
     1388      5360 1
     1389      5358 1
     1390      5351 1
     1391      5580 1
     1392      5578 1
     1393      5352 1
     1394      5716 1
     1395      5337 1
     1396      5341 1
     1397      5717 1
     1398      5329 1
     1399      5726 1
     1400      5643 1
     1401      5646 1
     1402      5727 1
     1403      5697 1
     1404      5322 1
     1405      5693 1
     1406      5626 1
     1407      5695 1
     1408      5313 1
     1409      5225 1
     1410      5312 1
     1411      5686 1
     1412      5381 1
     1413      5369 1
     1414      5569 1
     1415      5573 1
     1416      5365 1
     1417      5494 1
     1418      5346 1
     1419      5679 1
     1420      5325 1
     1421      5276 1
     1422      5265 1
     1423      5564 1
     1424      5802 1
     1425      5813 1
     1426      5701 1
     1427      5230 1
     1428      5421 1
     1429      5412 1
     1430      5411 1
     1431      5746 1
     1432      5401 1
     1433      5397 1
     1434      5557 1
     1435      4986 1
     1436      4980 1
     1437      5685 1
     1438      5393 1
     1439      5753 1
     1440      5486 1
     1441      5018 1
     1442      5196 1
     1443      5389 1
     1444      5385 1
     1445      5756 1
     1446      5630 1
     1447      5761 1
     1448      5172 1
     1449      5705 1
     1450      5237 1
     1451      5762 1
     1452      5242 1
     1453      5714 1
     1454      5436 1
     1455      5434 1
     1456      5713 1
     1457      5769 1
     1458      5732 1
     1459      5425 1
     1460      5770 1
     1461      5420 1
     1462      5740 1
     1463      5742 1
     1464      5406 1
     1465      5634 1
     1466      5221 1
     1467      5238 1
     1468      5430 1
     1469      6462 1
     1470      6008 1
     1471      5976 1
     1472      5970 1
     1473      5997 1
     1474      6004 1
     1475      6012 1
     1476      5977 1
     1477      5985 1
     1478      5838 1
     1479      5920 1
     1480      5933 1
     1481      5938 1
     1482      5943 1
     1483      5919 1
     1484      5945 1
     1485      5946 1
     1486      6050 1
     1487      6058 1
     1488      6063 1
     1489      6030 1
     1490      6034 1
     1491      6038 1
     1492      6039 1
     1493      6045 1
     1494      6056 1
     1495      5842 1
     1496      5849 1
     1497      5852 1
     1498      5859 1
     1499      5860 1
     1500      5862 1
     1501      5989 1
     1502      5961 1
     1503      5957 1
     1504      5993 1
     1505      5863 1
     1506      5882 1
     1507      5883 1
     1508      5889 1
     1509      6483 1
     1510      6485 1
     1511      6471 1
     1512      6476 1
     1513      6448 1
     1514      6454 1
     1515      6472 1
     1516      6064 1
     1517      5896 1
     1518      5914 1
     1519      5909 1
     1520      5905 1
     1521      5901 1
     1522      5826 1
     1523      5831 1
     1524      5870 1
     1525      5832 1
     1526      5875 1
     1527      5881 1
     1528      6078 1
     1529      6148 1
     1530      5968 1
     1531      6021 1
     1532      6022 1
     1533      6026 1
     1534      6749 1
     1535      6746 1
     1536      6743 1
     1537      6763 1
     1538      6770 1
     1539      6781 1
     1540      6786 1
     1541      6799 1
     1542      6796 1
     1543      6466 1
     1544      6755 1
     1545      6020 1
     1546      6122 1
     1547      5981 1
     1548      6457 1
     1549      6539 1
     1550      6538 1
     1551      6111 1
     1552      6126 1
     1553      6132 1
     1554      6133 1
     1555      6152 1
     1556      6116 1
     1557      6119 1
     1558      6157 1
     1559      6324 1
     1560      6323 1
     1561      6336 1
     1562      6360 1
     1563      6361 1
     1564      6527 1
     1565      6392 1
     1566      6387 1
     1567      6396 1
     1568      6513 1
     1569      6529 1
     1570      6532 1
     1571      6400 1
     1572      6404 1
     1573      6349 1
     1574      6417 1
     1575      6412 1
     1576      6408 1
     1577      6325 1
     1578      6380 1
     1579      6423 1
     1580      6340 1
     1581      6345 1
     1582      6372 1
     1583      6368 1
     1584      6376 1
     1585      6172 1
     1586      6163 1
     1587      6185 1
     1588      6332 1
     1589      6552 1
     1590      6196 1
     1591      6200 1
     1592      6239 1
     1593      6245 1
     1594      6246 1
     1595      6227 1
     1596      6217 1
     1597      6221 1
     1598      6437 1
     1599      6444 1
     1600      6438 1
     1601      6212 1
     1602      6630 1
     1603      6205 1
     1604      6209 1
     1605      6186 1
     1606      6639 1
     1607      6512 1
     1608      6519 1
     1609      6643 1
     1610      6619 1
     1611      6187 1
     1612      6560 1
     1613      6496 1
     1614      6566 1
     1615      6565 1
     1616      6558 1
     1617      6177 1
     1618      6079 1
     1619      6164 1
     1620      6174 1
     1621      6232 1
     1622      6228 1
     1623      6433 1
     1624      6436 1
     1625      6367 1
     1626      6201 1
     1627      6554 1
     1628      6139 1
     1629      6428 1
     1630      6775 1
     1631      6772 1
     1632      6790 1
     1633      6620 1
     1634      6083 1
     1635      6298 1
     1636      6278 1
     1637      6279 1
     1638      6273 1
     1639      6666 1
     1640      6714 1
     1641      6260 1
     1642      6266 1
